id,system,feature,priority,dependency,status,acceptance_criteria,test_requirement,evidence,notes
BOT-0209,ai,Local AI model discovery from prebuiltAppConfig.model_list,P0,—,DONE,No hard-coded model id; runtime verification,model-selection test,tests/unit/model-selection.test.js,v43.1
BOT-0210,ai,Fix Cannot-find-model-record bug (invalid id ...q4f16_1MLC),P0,BOT-0210,DONE,Invalid ids can never be selected,model-selection test,tests/unit/model-selection.test.js,v43.1
BOT-0211,ai,Graceful fallback: empty model list / no WebGPU / init failure,P0,BOT-0210,DONE,Friendly message; basic chatbot unaffected,local-ai test,tests/unit/local-ai.test.js,v43.1
BOT-0212,ai,User-friendly Vietnamese errors (no technical internals in UI),P0,BOT-0212,DONE,Raw WebLLM errors only in console/debug + state,local-ai test,tests/unit/local-ai.test.js,v43.1
BOT-0213,ai,Two-step explicit consent before model download,P0,—,DONE,Explain panel then confirm; never silent download,ui-tokens test + code review,tests/unit/ui-tokens.test.js,v43.1
BOT-0214,privacy,No inference API endpoints / API keys (enforced as tests),P0,—,DONE,privacy.test.js scans whole project,privacy test,tests/unit/privacy.test.js,v43.1
BOT-0215,perf,Base JS budget maintained (134117 bytes < 150000 guard),P1,—,DONE,CI bundle guard green with new baseline,ci.yml,.github/workflows/ci.yml,v43.1
BOT-0216,direct,Direct + embed consistency after UI refresh,P0,—,DONE,lang/theme/source/embed/auto-open/Escape preserved,embed + golden tests,tests/integration/embed.test.js,v43.1
BOT-0217,ops,Docs + matrix + state updated for v43.1 run,P1,—,DONE,All docs current,this run,docs/,this run
BOT-0218,ops,Matrix regenerator script tools/gen-matrix.mjs,P2,—,VERIFIED,Idempotent generation,this run,tools/gen-matrix.mjs,this run
BOT-0219,context,"Context memory: rider profile (height, experience, transmission, luggage, budget, usage, destination)",P0,BOT-0031..BOT-0034,VERIFIED,User-stated rider facts carried across turns without repetition,multi-turn tests A/B/F,tests/integration/multi-turn.test.js,v44
BOT-0220,context,Context memory: language tracking (vi/en) with per-turn detection,P1,—,VERIFIED,Follow-up English turns answered in English with verified facts,multi-turn test E,tests/integration/multi-turn.test.js,v44
BOT-0221,context,Anti-stale-context guarantee: explicit new entity always overrides memory,P0,—,VERIFIED,"""Không, Air Blade cơ"" replaces Vision",multi-turn test F,tests/integration/multi-turn.test.js,v44
BOT-0222,context,"Clear-context/reset behavior (UI button + engine.resetContext, local only)",P0,—,VERIFIED,"Slots, agenda and history fully cleared; no server state exists",multi-turn reset test,tests/integration/multi-turn.test.js,v44
BOT-0223,context,Date-range context (start/end dates persisted in slots),P1,—,VERIFIED,Range reused when follow-up references it,unit dates + slots,tests/unit/dates.test.js,v44
BOT-0224,nlu,"Intent/entity planning stage analyzeTurn(text, context)",P0,—,VERIFIED,"{intent, entities, missingEntities, confidence, normalizedQuery} produced",unit analyze-turn tests,tests/unit/analyze-turn.test.js,v44
BOT-0225,nlu,"New intents: recommendation_query, compare_query",P0,—,VERIFIED,Advice and comparison turns routed deterministically,unit analyze-turn + multi-turn,tests/unit/analyze-turn.test.js,v44
BOT-0226,nlu,"New entities: height, experience, transmission, budget, luggage, usage, destination, electric, date range",P0,—,VERIFIED,All rider/trip entities extracted with zero LLM use,unit rider + dates tests,tests/unit/rider.test.js,v44
BOT-0227,nlu,English duration units (week/weeks/month/months),P1,—,VERIFIED,"""Air Blade 2 weeks"" priced by calculator",multi-turn test,tests/integration/multi-turn.test.js,v44
BOT-0228,nlu,"Destination gazetteer with word-boundary matching (no false ""hue"" in ""thuê"")",P1,—,VERIFIED,Tam Dao detected; thang/hue never misread,unit rider tests,tests/unit/rider.test.js,v44
BOT-0229,planner,Conversation planner planTurn: rule/calculator/retriever/recommendation/LLM routes,P0,—,VERIFIED,Price turns NEVER allow LLM; recommendation allows grounded phrasing only,unit planner tests + golden LLM gate,tests/unit/analyze-turn.test.js,v44
BOT-0230,calc,Smart rental calculator with transparent cheapest-package breakdown,P0,—,VERIFIED,12 days = 1 tuần + 5 ngày lines; every number from pricing.json,unit rental-calculator tests,tests/unit/rental-calculator.test.js,v44
BOT-0231,calc,Date-range pricing (từ 5/10 đến 18/10) with inclusive day count,P0,—,VERIFIED,14-day estimate with date labels and breakdown,multi-turn test,tests/integration/multi-turn.test.js,v44
BOT-0232,calc,Cross-model comparison (35 ngày cái nào rẻ hơn) sorted cheapest first,P1,—,VERIFIED,"Deterministic ranking, unpriced models excluded",unit calculator + multi-turn,tests/unit/rental-calculator.test.js,v44
BOT-0233,recommend,Deterministic recommendation engine grounded in verified descriptions,P0,—,VERIFIED,"Structured {recommendedModels, reasons, tradeoffs, missingInfo, confidenceSource}; no invented specs",unit recommender tests,tests/unit/recommender.test.js,v44
BOT-0234,recommend,"Height handling: no seat-height data published, fit flagged as confirm-by-phone",P0,—,VERIFIED,missingInfo states the gap instead of guessing,unit recommender + multi-turn B,tests/unit/recommender.test.js,v44
BOT-0235,recommend,Budget-aware filtering from verified rates,P1,—,VERIFIED,150k ceiling excludes unaffordable models,unit recommender tests,tests/unit/recommender.test.js,v44
BOT-0236,search,"Hybrid retrieval: BM25 + local semantic (Transformers.js, lazy) + deterministic reranker",P0,—,VERIFIED,Paraphrase queries answered; weights 0.6/0.4; id tie-break,unit hybrid tests,tests/unit/hybrid.test.js,v44
BOT-0237,search,"Semantic layer: Xenova/multilingual-e5-small, in-browser WASM, cacheable, no API",P0,—,VERIFIED,Failure degrades silently to BM25-only,unit hybrid tests,tests/unit/hybrid.test.js,v44
BOT-0238,search,Semantic warm-up only AFTER first user turn (never on page load),P0,—,VERIFIED,moto-app warmSemantic fire-and-forget post-first-turn,code review + hybrid tests,src/app/moto-app.js,v44
BOT-0239,search,Irrelevant document rejection retained under hybrid merge,P0,—,VERIFIED,Out-of-domain queries decline to null (honest fallback),unit hybrid tests,tests/unit/hybrid.test.js,v44
BOT-0240,ai,Local LLM as phrasing/synthesis layer only (planner-gated),P0,—,VERIFIED,Deterministic prices never routed through LLM; recommendation phrasing guarded,golden LLM gate + planner tests,tests/integration/golden.test.js,v44
BOT-0241,ai,"Fact Guard v2: numbers, phones, opening hours validated against verified bundle",P0,—,VERIFIED,Invented phone/time/price rejected; legacy guard intact,unit fact-guard tests,tests/unit/fact-guard.test.js,v44
BOT-0242,ai,Source trace: internal answer source on every turn; debug label only in ?debug=1,P1,—,VERIFIED,Normal users see clean answers; debug mode shows nguồn,multi-turn + main.js debug path,assets/js/main.js,v44
BOT-0243,context,"Clarification logic: exactly ONE question, never repeating answered facts",P1,—,VERIFIED,Agenda asks only missing slot; context-aware,existing agenda tests + multi-turn,tests/unit/agenda.test.js,v44
BOT-0244,privacy,"All context storage local (localStorage-backed, namespaced); no upload, no profiles",P0,—,VERIFIED,privacy tests scan endpoints/keys/URLs incl. semantic layer,unit privacy tests,tests/unit/privacy.test.js,v44
BOT-0245,perf,Initial load unchanged: rules+NLU+BM25 only; embeddings/LLM lazy + opt-in,P0,—,VERIFIED,CI bundle guard 186095 < 190000; CDN import at runtime only,CI bundle guard,.github/workflows/ci.yml,v44
BOT-0246,test,"Multi-turn golden conversations A-G (follow-up, height carry, override, 50cc, EN context)",P0,—,VERIFIED,tests/integration/multi-turn.test.js 12 flows,multi-turn suite,tests/integration/multi-turn.test.js,v44
BOT-0247,test,"Test count 317 -> 393, no old assertion weakened",P0,—,VERIFIED,node --test 393/393,full suite,npm test,v44
BOT-0248,ops,Docs + README + matrix + state updated for v44 hybrid intelligence run,P1,—,DONE,All docs current,this run,docs/,v44
BOT-0249,ui,"Quick chips: compact 4-chip primary bar, one scrollable row, no partial clipping",P0,—,VERIFIED,DEFAULT_CHIPS = Giá thuê / Xe ga / Xe số / Theo tháng; chips route through the engine,ui-brand tests,tests/unit/ui-brand.test.js,v45
BOT-0250,ui,"Dynamic contextual suggestions after answers (deterministic, intent+slots based)",P0,—,VERIFIED,Price/vehicle/contact follow-up chips; LLM never generates suggestions,ui-brand + suggestions tests,tests/unit/ui-brand.test.js,v45
BOT-0251,ui,"Customer-facing label renamed ""AI tại chỗ"" -> ""Agent"" (index.html, main.js, local-llm friendly lines)",P0,—,VERIFIED,"No ""AI tại chỗ"" in normal UI; technical names stay internal",ui-brand tests,tests/unit/ui-brand.test.js,v45
BOT-0252,ui,"Ready status: short ""Agent sẵn sàng"" then auto-hide; model id never exposed in UI",P0,—,VERIFIED,Long Qwen/MLC ready line removed; model info only in state/debug/console,ui-brand tests,tests/unit/ui-brand.test.js,v45
BOT-0253,ui,"Header title ""Hỗ trợ Agent"" (MotoAI remains internal code name)",P1,—,VERIFIED,Direct + embed default launcher title updated,ui-brand + embed tests,tests/unit/ui-brand.test.js,v45
BOT-0254,data,"Address consistency: 112 Nguyễn Văn Cừ, Long Biên, Hà Nội across header, business.json, location rule, embed",P0,—,VERIFIED,Location answers and subtitle use business.address.full; no stale variants,ui-brand tests,tests/unit/ui-brand.test.js,v45
BOT-0255,ui,"Mobile polish: subtitle/status wrap (never clipped), chips touch targets 40px+",P1,—,VERIFIED,iPhone-safe single-row chips; no horizontal break,ui-tokens + ui-brand tests,tests/unit/ui-brand.test.js,v45
BOT-0256,test,"Test count 393 -> 406, no old assertion weakened",P0,—,VERIFIED,node --test 406/406,full suite,npm test,v45
BOT-0257,ops,Docs + matrix + state updated for v45 UI polish run,P1,—,DONE,All docs current,this run,docs/,v45
BOT-0258,distribution,"WordPress plugin motoai-agent (thin loader, no bundled engine)",P0,BOT-0248,VERIFIED,"Structure, header, no src/data vendored",wordpress-plugin + zip tests,tests/unit/wordpress-plugin.test.js,v45
BOT-0259,distribution,"WP admin settings page via Settings API (enable, lang, theme, position, title, source, auto-open, delay, mobile/desktop, include/exclude pages)",P0,—,VERIFIED,"Capability+nonce, sanitize inputs, escape outputs",wordpress-plugin test,tests/unit/wordpress-plugin.test.js,v45
BOT-0260,distribution,"WP frontend loader: async, footer, once-per-request, sanitized data attributes",P0,—,VERIFIED,"No duplicate injection, canonical embed URL",wordpress-plugin test,tests/unit/wordpress-plugin.test.js,v45
BOT-0261,distribution,WP shortcode [motoai_agent] lang/theme/source/open mounts canonical embed,P1,—,VERIFIED,"Whitelisted attrs, no engine duplication",wordpress-plugin test,tests/unit/wordpress-plugin.test.js,v45
BOT-0262,distribution,Deterministic plugin ZIP builder (tools/build-wordpress-plugin.mjs) -> dist/motoai-agent.zip,P0,—,VERIFIED,"Byte-identical rebuilds, root motoai-agent/, CRC valid, installable via WP Upload",wordpress-zip test,tests/unit/wordpress-zip.test.js,v45
BOT-0263,pwa,"manifest.webmanifest valid (name, start_url, scope /aichatbot/, display, icons)",P0,—,VERIFIED,"Valid JSON, absolute subpath-safe URLs, source=pwa",pwa test,tests/unit/pwa.test.js,v45
BOT-0264,pwa,"service-worker.js: versioned caches (v45), safe cleanup, no model precache",P0,—,VERIFIED,"Shell cache-first+revalidate, data network-first, cross-origin passthrough",pwa test,tests/unit/pwa.test.js,v45
BOT-0265,pwa,Offline shell after first load (rules+BM25+cached data; no guaranteed offline LLM),P1,—,VERIFIED,Offline behavior documented + SW strategy tested,pwa test + docs/PWA.md,docs/PWA.md,v45
BOT-0266,pwa,"Install UX: beforeinstallprompt pill ""Cài Agent"", iOS one-time A2HS hint, no nagging",P1,—,VERIFIED,Hidden unless installable; hidden after interaction,pwa test,tests/unit/pwa.test.js,v45
BOT-0267,pwa,"Raster icons generated deterministically (tools/gen-icons.py, CI-committed)",P1,—,DONE,192/512/maskable PNG; svg committed now,distribution.yml + pwa test,.github/workflows/distribution.yml,v45
BOT-0268,mobile,"Capacitor wrapper foundation (integrations/mobile: config, package, web-sync)",P0,—,VERIFIED,No second engine; canonical app copied to www/,mobile-config test,tests/unit/mobile-config.test.js,v45
BOT-0269,mobile,Android wrapper docs: APK/AAB build steps + manual Play requirements documented,P1,—,DONE,No store claim; account/id/signing/listing documented,docs/MOBILE.md,docs/MOBILE.md,v45
BOT-0270,mobile,iOS wrapper docs: Xcode build + manual App Store requirements documented,P1,—,DONE,No submission claim; account/bundle/signing/ASC documented,docs/MOBILE.md,docs/MOBILE.md,v45
BOT-0271,mobile,Local Agent compatibility audit per environment (Safari/WKWebView/Android WebView/Chrome Android),P0,—,DONE,Base chatbot independent of WebLLM everywhere,COMPATIBILITY.md + docs/MOBILE.md,docs/COMPATIBILITY.md,v45
BOT-0272,privacy,"Distribution privacy: no analytics, no chat-text tracking, source labels non-personal across all channels",P0,—,VERIFIED,Privacy tests + docs across web/wp/pwa/mobile,privacy + distribution tests,tests/unit/privacy.test.js,v45
BOT-0273,ops,Versioning strategy: core v45 / wp plugin 1.0.0 / pwa cache v45 / mobile 1.0.0 (decoupled),P1,—,DONE,Plugin not coupled to core updates,docs/DISTRIBUTION.md,docs/DISTRIBUTION.md,v45
BOT-0274,ops,"Distribution docs set: WORDPRESS.md, PWA.md, MOBILE.md, DISTRIBUTION.md; README distribution section",P0,—,DONE,All channels documented,this run,docs/,v45
BOT-0275,test,"Test count 406 -> 447, no old assertion weakened",P0,—,VERIFIED,node --test 447/447,full suite,npm test,v45b
BOT-0276,ops,Docs + README + matrix + state updated for v45 distribution run,P1,—,DONE,All docs current,this run,docs/,v45
