article_id,batch_id,category,status,primary_keyword,secondary_keywords,search_intent,working_title,slug,output_path,parent_hub,local_scope,requires_sources,source_policy,internal_link_targets,commercial_link_target,agent_retrieval,author,score,quality_status,repair_attempts,published_date,last_checked,notes
BA-0001,B01,APP,PUBLISHED,app thuê xe máy là gì,App & Ứng dụng; app thuê xe máy là gì,informational-product,App Thuê xe Máy là gì,app-thue-xe-may-la-gi,blog/app/app-thue-xe-may-la-gi/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,2026-09-26,2026-09-26,pilot/fixture
BA-0409,B09,APP,PLANNED,đặt xe bằng ứng dụng năm 2026,App & Ứng dụng; đặt xe bằng ứng dụng năm 2026,informational-product,Đặt xe Bằng Ứng Dụng Năm 2026,dat-xe-bang-ung-dung-nam-2026,blog/app/dat-xe-bang-ung-dung-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0410,B09,RENT,PLANNED,thuê honda vision kỳ nghĩ lễ,Thuê xe máy; thuê honda vision kỳ nghĩ lễ,commercial-informational,Thuê Honda Vision kỳ Nghĩ lễ,thue-honda-vision-ky-nghi-le,blog/thue-xe/thue-honda-vision-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0411,B09,EV,PLANNED,bảo dưỡng xe điện cho khách du lịch,Xe điện / xe máy điện; bảo dưỡng xe điện cho khách du lịch,informational-product,Bảo Dưỡng xe Điện Cho Khách du Lịch,bao-duong-xe-dien-cho-khach-du-lich,blog/xe-dien/bao-duong-xe-dien-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0412,B09,GUIDE,PLANNED,bản đồ và định vị khi thuê xe cho người mới,Hướng dẫn / thủ tục; bản đồ và định vị khi thuê xe cho người mới,informational,Bản đồ và Định vị Khi Thuê xe Cho Người Mới,ban-do-va-dinh-vi-khi-thue-xe-cho-nguoi-moi,blog/huong-dan/ban-do-va-dinh-vi-khi-thue-xe-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0413,B09,SAFE,PLANNED,đèn đỏ và camera phạt nguội cho du khách,An toàn / pháp lý; đèn đỏ và camera phạt nguội cho du khách,informational-legal,Đèn đỏ và Camera Phạt Nguội Cho du Khách,den-do-va-camera-phat-nguoi-cho-du-khach,blog/an-toan/den-do-va-camera-phat-nguoi-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0414,B09,LOCAL,PLANNED,hai bà trưng hành trình hai ngày một đêm,Địa phương / du lịch; hai bà trưng hành trình hai ngày một đêm,local-informational,Hai bà Trưng Hành Trình Hai Ngày Một Đêm,hai-ba-trung-hanh-trinh-hai-ngay-mot-dem,blog/dia-phuong/hai-ba-trung-hanh-trinh-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Hai bà Trưng,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0415,B09,APP,PLANNED,privacy và xử lý cục bộ trong app thuê xe năm 2026,App & Ứng dụng; privacy và xử lý cục bộ trong app thuê xe năm 2026,informational-product,Privacy và xử lý Cục bộ Trong App Thuê xe Năm 2026,privacy-va-xu-ly-cuc-bo-trong-app-thue-xe-nam-2026,blog/app/privacy-va-xu-ly-cuc-bo-trong-app-thue-xe-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0416,B09,RENT,PLANNED,thuê honda air blade kỳ nghĩ lễ,Thuê xe máy; thuê honda air blade kỳ nghĩ lễ,commercial-informational,Thuê Honda Air Blade kỳ Nghĩ lễ,thue-honda-air-blade-ky-nghi-le,blog/thue-xe/thue-honda-air-blade-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0417,B09,EV,PLANNED,xe điện khi mưa cho khách du lịch,Xe điện / xe máy điện; xe điện khi mưa cho khách du lịch,informational-product,xe Điện Khi Mưa Cho Khách du Lịch,xe-dien-khi-mua-cho-khach-du-lich,blog/xe-dien/xe-dien-khi-mua-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0418,B09,GUIDE,PLANNED,ứng dụng bản đồ cho người thuê xe cho người mới,Hướng dẫn / thủ tục; ứng dụng bản đồ cho người thuê xe cho người mới,informational,Ứng Dụng Bản đồ Cho Người Thuê xe Cho Người Mới,ung-dung-ban-do-cho-nguoi-thue-xe-cho-nguoi-moi,blog/huong-dan/ung-dung-ban-do-cho-nguoi-thue-xe-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0419,B09,SAFE,PLANNED,đi ngược chiều hậu quả cho du khách,An toàn / pháp lý; đi ngược chiều hậu quả cho du khách,informational-legal,đi Ngược Chiều Hậu Quả Cho du Khách,di-nguoc-chieu-hau-qua-cho-du-khach,blog/an-toan/di-nguoc-chieu-hau-qua-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0420,B09,LOCAL,PLANNED,gia lâm và long biên hai ngày một đêm,Địa phương / du lịch; gia lâm và long biên hai ngày một đêm,local-informational,Gia Lâm và Long Biên Hai Ngày Một Đêm,gia-lam-va-long-bien-hai-ngay-mot-dem,blog/dia-phuong/gia-lam-va-long-bien-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0421,B09,APP,PLANNED,app thuê xe cho khách du lịch năm 2026,App & Ứng dụng; app thuê xe cho khách du lịch năm 2026,informational-product,App Thuê xe Cho Khách du Lịch Năm 2026,app-thue-xe-cho-khach-du-lich-nam-2026,blog/app/app-thue-xe-cho-khach-du-lich-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0422,B09,RENT,PLANNED,thuê wave alpha kỳ nghĩ lễ,Thuê xe máy; thuê wave alpha kỳ nghĩ lễ,commercial-informational,Thuê Wave Alpha kỳ Nghĩ lễ,thue-wave-alpha-ky-nghi-le,blog/thue-xe/thue-wave-alpha-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0423,B09,EV,PLANNED,đi xe điện đường dài cho khách du lịch,Xe điện / xe máy điện; đi xe điện đường dài cho khách du lịch,informational-product,đi xe Điện Đường Dài Cho Khách du Lịch,di-xe-dien-duong-dai-cho-khach-du-lich,blog/xe-dien/di-xe-dien-duong-dai-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0424,B09,GUIDE,PLANNED,kỹ năng lái xe an toàn cơ bản cho người mới,Hướng dẫn / thủ tục; kỹ năng lái xe an toàn cơ bản cho người mới,informational,kỹ Năng Lái xe an Toàn cơ Bản Cho Người Mới,ky-nang-lai-xe-an-toan-co-ban-cho-nguoi-moi,blog/huong-dan/ky-nang-lai-xe-an-toan-co-ban-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0425,B09,SAFE,PLANNED,điện thoại khi lái xe cho du khách,An toàn / pháp lý; điện thoại khi lái xe cho du khách,informational-legal,Điện Thoại Khi Lái xe Cho du Khách,dien-thoai-khi-lai-xe-cho-du-khach,blog/an-toan/dien-thoai-khi-lai-xe-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0426,B09,LOCAL,PLANNED,sông hồng và cầu long biên hai ngày một đêm,Địa phương / du lịch; sông hồng và cầu long biên hai ngày một đêm,local-informational,Sông Hồng và Cầu Long Biên Hai Ngày Một Đêm,song-hong-va-cau-long-bien-hai-ngay-mot-dem,blog/dia-phuong/song-hong-va-cau-long-bien-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0427,B09,APP,PLANNED,ứng dụng thuê xe máy hoạt động ra sao năm 2026,App & Ứng dụng; ứng dụng thuê xe máy hoạt động ra sao năm 2026,informational-product,Ứng Dụng Thuê xe Máy Hoạt Động ra Sao Năm 2026,ung-dung-thue-xe-may-hoat-dong-ra-sao-nam-2026,blog/app/ung-dung-thue-xe-may-hoat-dong-ra-sao-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0428,B09,RENT,PLANNED,thuê xe hạng nhẹ kỳ nghĩ lễ,Thuê xe máy; thuê xe hạng nhẹ kỳ nghĩ lễ,commercial-informational,Thuê xe Hạng Nhẹ kỳ Nghĩ lễ,thue-xe-hang-nhe-ky-nghi-le,blog/thue-xe/thue-xe-hang-nhe-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0429,B09,EV,PLANNED,xe điện trong phố cho khách du lịch,Xe điện / xe máy điện; xe điện trong phố cho khách du lịch,informational-product,xe Điện Trong Phố Cho Khách du Lịch,xe-dien-trong-pho-cho-khach-du-lich,blog/xe-dien/xe-dien-trong-pho-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0430,B09,GUIDE,PLANNED,chạy xe số cho người mới cho người mới,Hướng dẫn / thủ tục; chạy xe số cho người mới cho người mới,informational,Chạy xe số Cho Người Mới Cho Người Mới,chay-xe-so-cho-nguoi-moi-cho-nguoi-moi,blog/huong-dan/chay-xe-so-cho-nguoi-moi-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0431,B09,SAFE,PLANNED,chở trẻ em trên xe máy cho du khách,An toàn / pháp lý; chở trẻ em trên xe máy cho du khách,informational-legal,Chở Trẻ em Trên xe Máy Cho du Khách,cho-tre-em-tren-xe-may-cho-du-khach,blog/an-toan/cho-tre-em-tren-xe-may-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0432,B09,LOCAL,PLANNED,chợ long biên đêm hai ngày một đêm,Địa phương / du lịch; chợ long biên đêm hai ngày một đêm,local-informational,Chợ Long Biên Đêm Hai Ngày Một Đêm,cho-long-bien-dem-hai-ngay-mot-dem,blog/dia-phuong/cho-long-bien-dem-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0433,B09,APP,PLANNED,trợ lý thuê xe máy là gì năm 2026,App & Ứng dụng; trợ lý thuê xe máy là gì năm 2026,informational-product,Trợ lý Thuê xe Máy là gì Năm 2026,tro-ly-thue-xe-may-la-gi-nam-2026,blog/app/tro-ly-thue-xe-may-la-gi-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0434,B09,RENT,PLANNED,so sánh giá các loại xe máy cho thuê kỳ nghĩ lễ,Thuê xe máy; so sánh giá các loại xe máy cho thuê kỳ nghĩ lễ,commercial-informational,so Sánh Giá Các Loại xe Máy Cho Thuê kỳ Nghĩ lễ,so-sanh-gia-cac-loai-xe-may-cho-thue-ky-nghi-le,blog/thue-xe/so-sanh-gia-cac-loai-xe-may-cho-thue-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0435,B09,EV,PLANNED,xe điện chở hai người cho khách du lịch,Xe điện / xe máy điện; xe điện chở hai người cho khách du lịch,informational-product,xe Điện Chở Hai Người Cho Khách du Lịch,xe-dien-cho-hai-nguoi-cho-khach-du-lich,blog/xe-dien/xe-dien-cho-hai-nguoi-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0436,B09,GUIDE,PLANNED,chạy xe ga lần đầu cho người mới,Hướng dẫn / thủ tục; chạy xe ga lần đầu cho người mới,informational,Chạy xe ga Lần Đầu Cho Người Mới,chay-xe-ga-lan-dau-cho-nguoi-moi,blog/huong-dan/chay-xe-ga-lan-dau-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0437,B09,SAFE,PLANNED,quy định mũ bảo hiểm trẻ em cho du khách,An toàn / pháp lý; quy định mũ bảo hiểm trẻ em cho du khách,informational-legal,Quy Định mũ Bảo Hiểm Trẻ em Cho du Khách,quy-dinh-mu-bao-hiem-tre-em-cho-du-khach,blog/an-toan/quy-dinh-mu-bao-hiem-tre-em-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0438,B09,LOCAL,PLANNED,phố cổ ẩm thực xe máy hai ngày một đêm,Địa phương / du lịch; phố cổ ẩm thực xe máy hai ngày một đêm,local-informational,Phố cổ ẩm Thực xe Máy Hai Ngày Một Đêm,pho-co-am-thuc-xe-may-hai-ngay-mot-dem,blog/dia-phuong/pho-co-am-thuc-xe-may-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Phố cổ,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0439,B09,APP,PLANNED,tìm xe máy thuê bằng ứng dụng năm 2026,App & Ứng dụng; tìm xe máy thuê bằng ứng dụng năm 2026,informational-product,Tìm xe Máy Thuê Bằng Ứng Dụng Năm 2026,tim-xe-may-thue-bang-ung-dung-nam-2026,blog/app/tim-xe-may-thue-bang-ung-dung-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0440,B09,RENT,PLANNED,cọc thuê xe máy bao nhiêu kỳ nghĩ lễ,Thuê xe máy; cọc thuê xe máy bao nhiêu kỳ nghĩ lễ,commercial-informational,Cọc Thuê xe Máy Bao Nhiêu kỳ Nghĩ lễ,coc-thue-xe-may-bao-nhieu-ky-nghi-le,blog/thue-xe/coc-thue-xe-may-bao-nhieu-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0441,B09,EV,PLANNED,vận tốc xe máy điện cho khách du lịch,Xe điện / xe máy điện; vận tốc xe máy điện cho khách du lịch,informational-product,Vận Tốc xe Máy Điện Cho Khách du Lịch,van-toc-xe-may-dien-cho-khach-du-lich,blog/xe-dien/van-toc-xe-may-dien-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0442,B09,GUIDE,PLANNED,chạy xe điện lần đầu cho người mới,Hướng dẫn / thủ tục; chạy xe điện lần đầu cho người mới,informational,Chạy xe Điện Lần Đầu Cho Người Mới,chay-xe-dien-lan-dau-cho-nguoi-moi,blog/huong-dan/chay-xe-dien-lan-dau-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0443,B09,SAFE,PLANNED,đeo nón đúng cách cho du khách,An toàn / pháp lý; đeo nón đúng cách cho du khách,informational-legal,Đeo Nón Đúng Cách Cho du Khách,deo-non-dung-cach-cho-du-khach,blog/an-toan/deo-non-dung-cach-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0444,B09,LOCAL,PLANNED,hồ gươm ban đêm hai ngày một đêm,Địa phương / du lịch; hồ gươm ban đêm hai ngày một đêm,local-informational,hồ Gươm Ban Đêm Hai Ngày Một Đêm,ho-guom-ban-dem-hai-ngay-mot-dem,blog/dia-phuong/ho-guom-ban-dem-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Hà Nội (khu vực),no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0445,B09,APP,PLANNED,so sánh cách thuê xe truyền thống và qua app năm 2026,App & Ứng dụng; so sánh cách thuê xe truyền thống và qua app năm 2026,informational-product,so Sánh Cách Thuê xe Truyền Thống và Qua App Năm 2026,so-sanh-cach-thue-xe-truyen-thong-va-qua-app-nam-2026,blog/app/so-sanh-cach-thue-xe-truyen-thong-va-qua-app-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0446,B09,RENT,PLANNED,nhận xe thuê cần gì kỳ nghĩ lễ,Thuê xe máy; nhận xe thuê cần gì kỳ nghĩ lễ,commercial-informational,Nhận xe Thuê Cần gì kỳ Nghĩ lễ,nhan-xe-thue-can-gi-ky-nghi-le,blog/thue-xe/nhan-xe-thue-can-gi-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0447,B09,EV,PLANNED,đăng ký thuê xe điện cho khách du lịch,Xe điện / xe máy điện; đăng ký thuê xe điện cho khách du lịch,informational-product,Đăng ký Thuê xe Điện Cho Khách du Lịch,dang-ky-thue-xe-dien-cho-khach-du-lich,blog/xe-dien/dang-ky-thue-xe-dien-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0448,B09,GUIDE,PLANNED,đỗ xe ở hà nội cho người mới,Hướng dẫn / thủ tục; đỗ xe ở hà nội cho người mới,informational,đỗ xe ở hà Nội Cho Người Mới,do-xe-o-ha-noi-cho-nguoi-moi,blog/huong-dan/do-xe-o-ha-noi-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0449,B09,SAFE,PLANNED,thuốc và lái xe cho du khách,An toàn / pháp lý; thuốc và lái xe cho du khách,informational-legal,Thuốc và Lái xe Cho du Khách,thuoc-va-lai-xe-cho-du-khach,blog/an-toan/thuoc-va-lai-xe-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0450,B09,LOCAL,PLANNED,ven đê sông hồng hai ngày một đêm,Địa phương / du lịch; ven đê sông hồng hai ngày một đêm,local-informational,Ven đê Sông Hồng Hai Ngày Một Đêm,ven-de-song-hong-hai-ngay-mot-dem,blog/dia-phuong/ven-de-song-hong-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Hà Nội (khu vực),no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0451,B10,APP,PLANNED,ứng dụng web thuê xe máy năm 2026,App & Ứng dụng; ứng dụng web thuê xe máy năm 2026,informational-product,Ứng Dụng Web Thuê xe Máy Năm 2026,ung-dung-web-thue-xe-may-nam-2026,blog/app/ung-dung-web-thue-xe-may-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0452,B10,RENT,PLANNED,trả xe thuê đúng giờ kỳ nghĩ lễ,Thuê xe máy; trả xe thuê đúng giờ kỳ nghĩ lễ,commercial-informational,Trả xe Thuê Đúng Giờ kỳ Nghĩ lễ,tra-xe-thue-dung-gio-ky-nghi-le,blog/thue-xe/tra-xe-thue-dung-gio-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0453,B10,EV,PLANNED,cọc khi thuê xe điện cho khách du lịch,Xe điện / xe máy điện; cọc khi thuê xe điện cho khách du lịch,informational-product,Cọc Khi Thuê xe Điện Cho Khách du Lịch,coc-khi-thue-xe-dien-cho-khach-du-lich,blog/xe-dien/coc-khi-thue-xe-dien-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0454,B10,GUIDE,PLANNED,luật đỗ xe phố cổ cho người mới,Hướng dẫn / thủ tục; luật đỗ xe phố cổ cho người mới,informational,Luật đỗ xe Phố cổ Cho Người Mới,luat-do-xe-pho-co-cho-nguoi-moi,blog/huong-dan/luat-do-xe-pho-co-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0455,B10,SAFE,PLANNED,mệt mỏi khi lái đường dài cho du khách,An toàn / pháp lý; mệt mỏi khi lái đường dài cho du khách,informational-legal,Mệt Mỏi Khi Lái Đường Dài Cho du Khách,met-moi-khi-lai-duong-dai-cho-du-khach,blog/an-toan/met-moi-khi-lai-duong-dai-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0456,B10,LOCAL,PLANNED,cột cờ hoàng thành hai ngày một đêm,Địa phương / du lịch; cột cờ hoàng thành hai ngày một đêm,local-informational,Cột cờ Hoàng Thành Hai Ngày Một Đêm,cot-co-hoang-thanh-hai-ngay-mot-dem,blog/dia-phuong/cot-co-hoang-thanh-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Hà Nội (khu vực),no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0457,B10,APP,PLANNED,công cụ tính giá thuê xe máy online năm 2026,App & Ứng dụng; công cụ tính giá thuê xe máy online năm 2026,informational-product,Công cụ Tính Giá Thuê xe Máy Online Năm 2026,cong-cu-tinh-gia-thue-xe-may-online-nam-2026,blog/app/cong-cu-tinh-gia-thue-xe-may-online-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0458,B10,RENT,PLANNED,phí trễ hạn khi thuê xe kỳ nghĩ lễ,Thuê xe máy; phí trễ hạn khi thuê xe kỳ nghĩ lễ,commercial-informational,Phí Trễ Hạn Khi Thuê xe kỳ Nghĩ lễ,phi-tre-han-khi-thue-xe-ky-nghi-le,blog/thue-xe/phi-tre-han-khi-thue-xe-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0459,B10,EV,PLANNED,so sánh các dòng xe điện cho thuê cho khách du lịch,Xe điện / xe máy điện; so sánh các dòng xe điện cho thuê cho khách du lịch,informational-product,so Sánh Các Dòng xe Điện Cho Thuê Cho Khách du Lịch,so-sanh-cac-dong-xe-dien-cho-thue-cho-khach-du-lich,blog/xe-dien/so-sanh-cac-dong-xe-dien-cho-thue-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0460,B10,GUIDE,PLANNED,trộm cắp xe và xe thuê cho người mới,Hướng dẫn / thủ tục; trộm cắp xe và xe thuê cho người mới,informational,Trộm Cắp xe và xe Thuê Cho Người Mới,trom-cap-xe-va-xe-thue-cho-nguoi-moi,blog/huong-dan/trom-cap-xe-va-xe-thue-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0461,B10,SAFE,PLANNED,đi nhóm an toàn cho du khách,An toàn / pháp lý; đi nhóm an toàn cho du khách,informational-legal,đi Nhóm an Toàn Cho du Khách,di-nhom-an-toan-cho-du-khach,blog/an-toan/di-nhom-an-toan-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0462,B10,LOCAL,PLANNED,lăng chủ tích qua phố hai ngày một đêm,Địa phương / du lịch; lăng chủ tích qua phố hai ngày một đêm,local-informational,Lăng Chủ Tích Qua Phố Hai Ngày Một Đêm,lang-chu-tich-qua-pho-hai-ngay-mot-dem,blog/dia-phuong/lang-chu-tich-qua-pho-hai-ngay-mot-dem/index.html,blog/dia-phuong/,Hà Nội (khu vực),no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0463,B10,APP,PLANNED,hỏi đáp với Agent thuê xe năm 2026,App & Ứng dụng; hỏi đáp với Agent thuê xe năm 2026,informational-product,Hỏi Đáp Với Agent Thuê xe Năm 2026,hoi-dap-voi-agent-thue-xe-nam-2026,blog/app/hoi-dap-voi-agent-thue-xe-nam-2026/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0464,B10,RENT,PLANNED,kiểm tra xe trước khi nhận kỳ nghĩ lễ,Thuê xe máy; kiểm tra xe trước khi nhận kỳ nghĩ lễ,commercial-informational,Kiểm Tra xe Trước Khi Nhận kỳ Nghĩ lễ,kiem-tra-xe-truoc-khi-nhan-ky-nghi-le,blog/thue-xe/kiem-tra-xe-truoc-khi-nhan-ky-nghi-le/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0465,B10,EV,PLANNED,thuê xe điện cho khách du lịch cho khách du lịch,Xe điện / xe máy điện; thuê xe điện cho khách du lịch cho khách du lịch,informational-product,Thuê xe Điện Cho Khách du Lịch Cho Khách du Lịch,thue-xe-dien-cho-khach-du-lich-cho-khach-du-lich,blog/xe-dien/thue-xe-dien-cho-khach-du-lich-cho-khach-du-lich/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0466,B10,GUIDE,PLANNED,khoá xe khi thuê cho người mới,Hướng dẫn / thủ tục; khoá xe khi thuê cho người mới,informational,Khoá xe Khi Thuê Cho Người Mới,khoa-xe-khi-thue-cho-nguoi-moi,blog/huong-dan/khoa-xe-khi-thue-cho-nguoi-moi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0467,B10,SAFE,PLANNED,bão và xe máy cho du khách,An toàn / pháp lý; bão và xe máy cho du khách,informational-legal,Bão và xe Máy Cho du Khách,bao-va-xe-may-cho-du-khach,blog/an-toan/bao-va-xe-may-cho-du-khach/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
